實裝時間,角色名稱,角色中文名稱,星數,天冥,武器類型,防具類型,屬性,個性
2023/7/20,夢吟の詩人,夢吟?詩人,5,冥,杖,戒指,水,"魔獸,吟遊詩人,喜歡力水"
2023/8/3,パリサ(AS),帕莉莎(AS),5,冥,弓,戒指,火,"吟遊詩人,詛咒"
2023/8/24,カムラナージュ,卡姆拉拿珠,5,冥,杖,戒指,雷,"時間帝國,時之皇子,悖理夢想團領袖,未來革命家"
2023/8/24,ヴェレット,薇列特,5,天,槌,手環,雷,"採礦,時間帝國"
2023/9/7,白磁の魔人,白瓷魔人,5,天,杖,手環,地,"東方,封印"
2023/9/21,オルレイア,奧爾蕾雅(AS),5,天,斧,項鍊,"雷,火",怕生
2023/10/5,ポム(AS),波姆(AS),5,天,杖,戒指,火,"科學家,採集,手槍"
2023/10/26,セリエス,塞利艾斯,5,天,弓,戒指,地,"屠龍者,喜歡力水,阿卡迪亞"
2023/10/26,リュゼ,琉結,5,天,槍,手環,水,"詛咒,屠龍者,阿卡迪亞"
2023/11/9,オボロ,奧珀朧,5,天,刀,戒指,雷,"喜歡貓咪,東方,蒙面,KMS公司,普賢一刀流,戀愛煩惱"
2023/12/7,サイラス,賽拉斯,5,冥,杖,戒指,"水,火,雷","喜愛閱讀,啟途旅人"
2023/12/7,パルテティオ,帕爾特提歐,5,天,弓,戒指,火,啟途旅人
2023/12/7,ティティ,緹緹,5,天,拳,項鍊,雷,啟途旅人
2023/12/7,ウェネーフィカ,薇涅妃卡,5,冥,弓,戒指,"陰,水","詛咒,復仇者,巴路奧其"
2023/12/21,アルマ(AS),阿爾瑪(AS),5,冥,弓,戒指,晶,"喜歡貓咪,手槍,?金術師,眼鏡"
2023/12/31,チルリル(ES),琪路莉露(ES),5,冥,劍,手環,晶,"喜歡甜點,神職人員,西方"
2024/1/11,菊花の剣客,菊之劍客,5,冥,刀,戒指,地,"東方,普賢一刀流"
2024/1/26,メルピピア,梅璐匹琵亞,5,天,劍,手環,風,"精靈,喜歡起綽號"
2024/2/26,サザンカ,沙薩卡,5,,,,,
